simulation_run,time_step,time_of_day,traffic_phase,is_peak_hour,cycle_num,density,speed_setting,simulation_mode,arrival_rate_j1_lane1,arrival_rate_j1_lane2,arrival_rate_j1_lane3,arrival_rate_j1_lane4,arrival_rate_j2_lane1,arrival_rate_j2_lane2,arrival_rate_j2_lane3,arrival_rate_j2_lane4,pso_n_particles,pso_n_iterations,pso_inertia_w,pso_cognitive_c1,pso_social_c2,pso_min_green,pso_max_green,pso_best_fitness,pso_improvement_pct,green_time_j1_lane1_pso,green_time_j1_lane2_pso,green_time_j1_lane3_pso,green_time_j1_lane4_pso,green_time_j2_lane1_pso,green_time_j2_lane2_pso,green_time_j2_lane3_pso,green_time_j2_lane4_pso,green_time_j1_lane1_baseline,green_time_j1_lane2_baseline,green_time_j1_lane3_baseline,green_time_j1_lane4_baseline,green_time_j2_lane1_baseline,green_time_j2_lane2_baseline,green_time_j2_lane3_baseline,green_time_j2_lane4_baseline,queue_j1_lane1,queue_j1_lane2,queue_j1_lane3,queue_j1_lane4,queue_j2_lane1,queue_j2_lane2,queue_j2_lane3,queue_j2_lane4,avg_wait_j1_lane1,avg_wait_j1_lane2,avg_wait_j1_lane3,avg_wait_j1_lane4,avg_wait_j2_lane1,avg_wait_j2_lane2,avg_wait_j2_lane3,avg_wait_j2_lane4,avg_waiting_time_pso,avg_waiting_time_baseline,total_vehicles_processed,vehicles_processed_j1,vehicles_processed_j2,throughput_per_step,fuel_wasted_pso_litres,fuel_wasted_baseline_litres,fuel_saved_litres,signal_efficiency_pct,congestion_level,emergency_occurred,emergency_junction,emergency_lane,emergency_duration_steps,active_direction,phase_timer_N,phase_timer_S,phase_timer_E,phase_timer_W,ds_total_rows,ds_total_cols,ds_current_step,ds_density,ds_peak_phase,ds_total_volume
0,0,Early Morning,LOW,0,0,0.1458,2,AI,1.032,0.956,0.909,0.754,1.316,1.078,0.855,0.577,10,20,0.45,1.459,1.334,3,20,1.7475,18.19,12,18,11,19,20,10,20,18,10,10,10,10,10,10,10,10,1,0,1,0,1,0,1,2,1.6623,1.4554,1.0619,1.898,1.407,1.2469,0.9144,1.1078,1.3442,1.643,0,0,0,0.0,0.0,0.0,0.0,93.79,LOW,0,0,0,0,S,2,13,0,3,12000,50,0,0.1458,LOW,3.651
0,1,Early Morning,LOW,0,0,0.1938,6,AI,1.075,1.172,1.184,1.016,1.337,1.186,0.992,0.708,10,40,0.821,1.45,1.395,3,20,1.9565,28.83,20,19,14,17,17,20,20,20,10,10,10,10,10,10,10,10,1,2,0,0,0,0,0,0,1.0627,1.229,1.6902,1.7612,1.4454,1.7337,1.486,1.7235,1.5165,2.1307,0,0,0,0.0,0.0,0.0,0.0,92.36,LOW,0,0,0,0,W,4,2,11,7,12000,50,1,0.1938,LOW,4.447
0,2,Early Morning,LOW,0,0,0.2312,8,AI,1.372,1.176,1.506,1.532,1.086,0.888,0.953,0.866,10,25,0.518,1.256,1.04,3,20,1.7547,20.37,19,11,15,12,20,16,17,19,10,10,10,10,10,10,10,10,0,1,0,3,1,0,1,0,1.845,1.3419,1.1599,1.3707,1.7161,1.1449,1.4829,0.9005,1.3702,1.7207,0,0,0,0.0,0.0,0.0,0.0,91.45,LOW,0,0,0,0,N,4,0,2,9,12000,50,2,0.2312,LOW,5.586
0,3,Early Morning,LOW,0,0,0.2405,7,Fixed,1.341,1.454,1.56,1.364,0.67,0.727,0.78,0.682,30,35,0.527,1.247,1.696,3,20,1.8563,21.21,19,12,20,13,20,15,10,14,10,10,10,10,10,10,10,10,2,1,1,1,1,1,2,1,1.8225,1.3434,1.2482,1.69,1.6286,1.2138,0.9866,1.7465,1.46,1.8531,2,1,1,0.5,0.146,0.185,0.039,93.12,LOW,0,0,0,0,E,17,6,9,2,12000,50,3,0.2405,LOW,5.719
0,4,Early Morning,LOW,0,0,0.1933,1,AI,1.307,1.186,1.174,1.04,1.054,0.893,0.787,0.62,10,25,0.849,1.9,1.633,3,20,1.8358,18.67,14,14,19,20,20,20,18,11,10,10,10,10,10,10,10,10,0,2,0,1,0,1,1,1,1.3429,1.7218,1.6347,1.8143,1.4919,1.4115,0.9843,1.2309,1.454,1.7878,2,0,2,0.4,0.145,0.178,0.033,89.53,LOW,0,0,0,0,E,5,7,1,0,12000,50,4,0.1933,LOW,4.707
0,5,Early Morning,LOW,0,0,0.1159,1,AI,0.757,0.634,0.563,0.736,0.379,0.317,0.281,0.368,15,30,0.897,1.47,1.28,3,20,1.7044,21.62,20,19,20,14,17,17,20,11,10,10,10,10,10,10,10,10,0,0,0,1,0,2,0,1,1.2787,1.3158,1.3403,1.8138,1.023,1.538,1.3975,1.1669,1.3592,1.7342,2,1,1,0.333,0.136,0.174,0.038,87.3,LOW,0,0,0,0,W,6,3,12,3,12000,50,5,0.1159,LOW,2.69
0,6,Early Morning,LOW,0,0,0.0952,7,Fixed,0.547,0.468,0.659,0.463,0.673,0.534,0.53,0.332,20,40,0.447,1.578,1.036,3,20,1.7217,16.45,15,16,13,17,10,10,20,14,10,10,10,10,10,10,10,10,0,2,1,0,1,3,0,1,1.4451,1.1206,1.0728,1.9164,1.6524,1.5264,1.2681,1.056,1.3822,1.6544,2,1,1,0.286,0.138,0.165,0.027,92.08,LOW,0,0,0,0,N,7,12,4,0,12000,50,6,0.0952,LOW,2.137
0,7,Early Morning,LOW,0,0,0.1929,7,AI,1.127,1.264,0.948,1.188,1.364,1.232,0.874,0.794,30,20,0.779,1.014,1.116,3,20,1.9136,21.0,10,10,20,18,15,11,16,15,10,10,10,10,10,10,10,10,0,1,2,1,1,1,0,1,1.5772,1.8962,1.5679,1.3994,1.479,1.3124,1.3911,1.7473,1.5463,1.9574,6,3,3,0.75,0.464,0.587,0.123,88.26,LOW,0,0,0,0,W,1,2,17,2,12000,50,7,0.1929,LOW,4.527
0,8,Early Morning,LOW,0,0,0.0952,5,AI,0.53,0.65,0.462,0.643,0.265,0.325,0.231,0.322,20,40,0.648,1.693,1.348,3,20,1.7864,22.77,20,10,15,20,16,15,16,16,10,10,10,10,10,10,10,10,1,0,2,0,2,0,1,0,1.3179,1.14,1.0981,1.9127,1.6624,1.2194,1.7611,1.5091,1.4526,1.8808,2,2,0,0.222,0.145,0.188,0.043,87.75,LOW,0,0,0,0,E,11,8,3,3,12000,50,8,0.0952,LOW,2.285
0,9,Early Morning,LOW,0,0,0.2153,10,Manual,1.441,1.08,1.289,1.063,1.521,1.14,1.044,0.732,10,20,0.428,1.737,1.546,3,20,1.7866,27.18,18,20,18,19,20,19,15,12,10,10,10,10,10,10,10,10,1,0,1,3,2,1,0,1,1.3472,1.441,1.2783,1.4147,1.4143,1.5669,1.5905,1.6405,1.4617,2.0073,4,3,1,0.4,0.292,0.401,0.109,92.16,LOW,0,0,0,0,E,16,0,5,5,12000,50,9,0.2153,LOW,4.873
0,10,Early Morning,LOW,0,0,0.0854,2,AI,0.608,0.419,0.592,0.518,1.104,0.809,0.696,0.459,15,20,0.86,1.253,1.695,3,20,1.5186,14.74,10,11,12,13,20,18,14,18,10,10,10,10,10,10,10,10,2,1,0,0,1,0,0,0,1.284,1.4579,1.0791,1.3018,1.2701,1.4425,1.1439,1.0199,1.2499,1.466,7,5,2,0.636,0.437,0.513,0.076,90.23,LOW,0,0,0,0,W,8,1,9,7,12000,50,10,0.0854,LOW,2.137
0,11,Early Morning,LOW,0,0,0.1753,2,AI,0.911,1.014,1.168,1.043,1.256,1.107,0.984,0.722,20,25,0.475,1.594,1.381,3,20,1.8126,13.69,20,19,19,15,14,13,10,19,10,10,10,10,10,10,10,10,4,2,1,2,1,0,0,1,1.7451,1.5181,1.817,1.5467,1.4048,1.689,1.2631,1.0206,1.5006,1.7386,7,4,3,0.583,0.525,0.608,0.083,91.15,LOW,0,0,0,0,S,18,6,5,11,12000,50,11,0.1753,LOW,4.136
0,12,Early Morning,LOW,0,0,0.1418,1,AI,0.881,0.814,0.829,0.988,0.441,0.407,0.414,0.494,10,40,0.657,1.784,1.397,3,20,1.5708,18.94,17,19,20,11,20,15,12,15,10,10,10,10,10,10,10,10,2,1,0,0,0,0,0,1,1.3611,1.8571,1.4766,1.6508,1.0551,1.0731,0.9368,1.052,1.3078,1.6133,3,2,1,0.231,0.196,0.242,0.046,86.89,LOW,0,0,0,0,S,8,11,13,1,12000,50,12,0.1418,LOW,3.512
0,13,Early Morning,LOW,0,0,0.1672,6,AI,1.08,0.819,1.124,1.055,1.34,1.01,0.962,0.728,25,30,0.656,1.157,1.377,3,20,1.6064,20.19,9,19,10,16,20,15,20,12,10,10,10,10,10,10,10,10,2,0,0,0,2,0,1,0,1.1444,1.7137,1.2141,1.5576,1.6566,0.9803,1.3818,1.1099,1.3448,1.6849,6,4,2,0.429,0.403,0.505,0.102,92.55,LOW,0,0,0,0,S,1,14,3,14,12000,50,13,0.1672,LOW,4.078
0,14,Early Morning,LOW,0,0,0.1811,1,AI,1.194,1.057,0.925,0.993,0.997,0.829,0.663,0.597,10,25,0.85,1.608,1.244,3,20,1.782,26.59,15,13,20,9,12,13,15,19,10,10,10,10,10,10,10,10,0,1,1,0,3,1,2,2,1.479,1.8047,1.2346,1.9212,1.5399,1.0796,1.5626,1.3769,1.4998,2.043,7,6,1,0.467,0.525,0.715,0.19,93.04,LOW,0,0,0,0,E,14,3,12,2,12000,50,14,0.1811,LOW,4.169
0,15,Early Morning,LOW,0,0,0.1449,3,AI,0.853,0.886,0.886,0.766,0.827,0.743,0.643,0.483,10,25,0.444,1.139,1.003,3,20,1.7642,21.1,11,14,16,18,10,19,17,14,10,10,10,10,10,10,10,10,2,1,1,4,0,0,2,1,1.4568,1.6924,1.8597,1.6117,1.3858,1.2949,1.4197,1.2198,1.4926,1.8918,6,5,1,0.375,0.448,0.568,0.12,88.62,LOW,0,0,0,0,E,6,2,5,5,12000,50,15,0.1449,LOW,3.391
0,16,Early Morning,LOW,0,0,0.188,4,AI,1.053,0.965,1.26,1.182,0.926,0.782,0.83,0.691,25,35,0.847,1.789,1.152,3,20,1.6734,24.58,13,12,17,10,15,18,19,13,10,10,10,10,10,10,10,10,1,1,1,0,0,2,1,0,1.3611,1.2134,1.8676,1.5751,1.2608,1.3158,1.7526,1.038,1.423,1.8867,10,5,5,0.588,0.712,0.944,0.232,87.56,LOW,0,0,0,0,W,11,10,11,3,12000,50,16,0.188,LOW,4.46
0,17,Early Morning,LOW,0,0,0.215,1,Fixed,1.044,1.368,1.43,1.225,0.522,0.684,0.715,0.613,15,25,0.612,1.736,1.934,3,20,1.5493,29.8,19,14,10,20,18,10,19,19,10,10,10,10,10,10,10,10,1,1,0,1,0,0,2,0,1.7138,1.457,1.2521,1.4572,1.0268,1.0587,1.3485,1.277,1.3239,1.8858,9,4,5,0.5,0.596,0.849,0.253,95.26,LOW,0,0,0,0,E,17,4,0,6,12000,50,17,0.215,LOW,5.067
0,18,Early Morning,LOW,0,0,0.2435,3,Manual,1.256,1.411,1.219,1.751,0.628,0.706,0.61,0.875,25,40,0.55,1.31,1.397,3,20,1.7383,24.73,14,18,13,14,16,13,18,15,10,10,10,10,10,10,10,10,0,2,1,1,0,0,1,2,1.931,1.8058,1.8303,1.4172,1.3966,1.1285,1.0765,1.355,1.4926,1.9829,9,4,5,0.474,0.672,0.893,0.221,96.29,LOW,0,0,0,0,S,11,14,7,1,12000,50,18,0.2435,LOW,5.637
0,19,Early Morning,LOW,0,0,0.1239,5,Fixed,0.809,0.849,0.841,0.713,0.405,0.424,0.42,0.356,15,40,0.471,1.406,1.324,3,20,1.637,21.66,10,16,17,18,10,18,16,16,10,10,10,10,10,10,10,10,2,1,0,1,1,1,2,2,1.2139,1.4863,1.5112,1.7175,1.529,1.2623,1.0962,1.4805,1.4121,1.8026,11,3,8,0.55,0.777,0.992,0.215,93.41,LOW,0,0,0,0,N,4,10,5,17,12000,50,19,0.1239,LOW,3.212
0,20,Early Morning,LOW,0,1,0.2192,1,AI,1.314,1.087,1.265,1.314,1.457,1.143,1.032,0.857,15,25,0.453,1.14,1.264,3,20,1.6747,30.39,12,17,12,16,14,15,18,13,10,10,10,10,10,10,10,10,1,0,1,0,1,1,2,1,1.9087,1.1715,1.4854,1.2929,1.3859,1.0458,1.6574,1.6618,1.4512,2.0848,9,3,6,0.429,0.653,0.938,0.285,93.86,LOW,0,0,0,0,W,8,8,7,0,12000,50,20,0.2192,LOW,4.98
